1	7513045.638	4693243.061	622.747
2	7513043.647	4693245.85	622.5501
3	7513081.525	4693192.761	622.1903
4	7513090.314	4693180.399	622.1801
5	7513120.519	4693161.434	622.3218
6	7513109.533	4693153.978	621.9407
7	7513109.474	4693153.956	621.9289
8	7513120.432	4693161.501	622.0554
9	7513101.008	4693188.614	622.3171
10	7513092.584	4693200.344	622.3684
11	7513084.584	4693212.258	623.187
12	7513084.549	4693212.254	622.6492
13	7513072.195	4693229.196	624.0191
14	7513064.557	4693239.355	622.4953
15	7513073.168	4693204.32	621.8986
16	7513073.169	4693204.325	622.3009
17	7513060.872	4693221.482	622.4584
18	7513053.491	4693231.907	622.5458
19	7513056.474	4693250.766	622.5452
20	7513056.494	4693250.731	622.5696
21	7513037.341	4693255.324	623.106
22	7513037.371	4693255.321	623.1925
23	7513048.037	4693262.766	623.4422
24	7513113.367	4693156.646	622.0347
