1,7513108.658,4693155.094,,,150058,Control,7/15/2020 14:39,7513115.621,4693142.264,-,,-,,,,,P1,7513067.965,4693208.04,622.251,,622.251,12/31/1969,16:00:00,0
2,7513120.405,4693163.182,,,150059,Control,7/15/2020 14:39,7513117.251,4693143.344,-,,-,,,,,P2,7513108.859,4693149.512,621.852,,621.852,12/31/1969,16:00:00,0
3,7513116.483,4693168.504,,,150060,Control,7/15/2020 14:39,7513129.551,4693126.304,-,,-,,,,,P3,7513094.794,4693201.985,622.255,,622.255,12/31/1969,16:00:00,0
4,7513101.485,4693188.981,,,150061,Control,7/15/2020 14:39,7513145.74,4693104.794,-,,-,,,,,P4,7513124.767,4693130.12,621.632,,621.632,12/31/1969,16:00:00,0
5,7513093.29,4693200.828,,,150062,Control,7/15/2020 14:39,7513165.039,4693079.84,-,,-,,,,,6,7513085.123,4693212.633,621.632,,621.632,12/31/1969,16:00:00,0
6,7513085.123,4693212.633,,,152492,Control,7/15/2020 14:39,7513026.484,4693293.242,-,,-,,,,,152672,7513061.486,4693244.149,621.632,,621.632,12/31/1969,16:00:00,0
7,7513072.661,4693229.514,,,152493,Control,7/15/2020 14:39,7513013.816,4693284.132,622.9925,,-,,,,,FS1,7513123.594,4693162.067,621.972,,621.972,7/15/2020,17:46:32,
8,7513064.946,4693239.617,,,152569,Control,7/15/2020 14:39,7513036.71,4693252.634,622.5707,,-,,,,,A6,7513085.003,4693212.797,622.358,,622.358,7/15/2020,17:48:44,
9,7513056.471,4693250.715,,,152570,Control,7/15/2020 14:39,7513059.234,4693220.483,622.3384,,-,,,,,A152672,7513061.494,4693244.14,621.988,,621.988,7/15/2020,17:52:00,
10,7513047.872,4693262.651,,,152571,Control,7/15/2020 14:39,7513067.794,4693207.993,622.2099,,-,,,,,100,7513112.018,4693173.743,622.08,OBJEKT,622.08,7/15/2020,17:54:06,
11,7513037.371,4693255.321,,,152572,Control,7/15/2020 14:39,7513087.983,4693179.514,622.2052,,-,,,,,3,7513116.483,4693168.504,621.632,,621.632,12/31/1969,16:00:00,0
12,7513035.663,4693254.129,,,152573,Control,7/15/2020 14:39,7513103.782,4693158.554,622.0683,,-,,,,,2,7513120.405,4693163.182,621.632,,621.632,12/31/1969,16:00:00,0
13,7513043.647,4693245.85,,,152670,Control,7/15/2020 14:39,7513033.615,4693257.052,622.38,,-,,,,,1,7513108.658,4693155.094,621.632,,621.632,12/31/1969,16:00:00,0
14,7513045.638,4693243.061,,,152671,Control,7/15/2020 14:39,7513053.465,4693254.652,-,,-,,,,,101,7513115.779,4693168.258,622.203,OBJEKT,622.203,7/15/2020,17:58:57,
15,7513053.491,4693231.907,,,152672,Control,7/15/2020 14:39,7513061.486,4693244.149,621.988,,-,,,,,A3,7513116.345,4693168.629,622.051,,622.051,7/15/2020,18:01:08,
16,7513060.872,4693221.482,,,152673,Control,7/15/2020 14:39,7513080.994,4693218.602,622.4,,-,,,,,FS2,7513123.11,4693159.107,621.964,,621.964,7/15/2020,18:10:05,
17,7513073.169,4693204.325,,,152674,Control,7/15/2020 14:39,7513101.119,4693189.51,622.299,,-,,,,,152677,7513112.19,4693174.33,622.203,,622.203,12/31/1969,16:00:00,0
18,7513081.525,4693192.761,,,152675,Control,7/15/2020 14:39,7513090.04,4693181.4,622.0861,,-,,,,,A200,7513112.398,4693174.04,622.052,,622.052,7/15/2020,18:15:34,
19,7513090.314,4693180.399,,,152676,Control,7/15/2020 14:39,7513100.35,4693166.68,621.97,,-,,,,,A2,7513120.372,4693163.232,621.947,,621.947,7/15/2020,18:18:18,
150058,7513115.621,4693142.264,,,152677,Control,7/15/2020 14:39,7513112.19,4693174.33,622.052,,-,,,,,A1,7513108.629,4693155.059,621.593,,621.593,7/15/2020,18:23:24,
150059,7513117.251,4693143.344,,,152678,Control,7/15/2020 14:39,7513136.661,4693141.123,-,,-,,,,,A220,7513112.57,4693157.74,621.742,,621.742,7/15/2020,18:25:18,
150060,7513129.551,4693126.304,,,152679,Control,7/15/2020 14:39,7513150.929,4693121.061,-,,-,,,,,300,7513119.521,4693162.786,623.585,OBJEKT,623.585,7/15/2020,18:26:04,
150061,7513145.74,4693104.794,,,152680,Control,7/15/2020 14:39,7513175.812,4693088.135,-,,-,,,,,301,7513112.532,4693157.873,623.568,OBJEKT,623.568,7/15/2020,18:26:16,
150062,7513165.039,4693079.84,,,186025,Control,7/15/2020 14:39,7513141.674,4693134.074,-,,-,,,,,302,7513112.584,4693157.784,623.612,OBJEKT,623.612,7/15/2020,18:26:31,
152492,7513026.484,4693293.242,,,186026,Control,7/15/2020 14:39,7513150.397,4693121.81,-,,-,,,,,303,7513108.706,4693155.228,623.809,OBJEKT,623.809,7/15/2020,18:26:43,
152493,7513013.816,4693284.132,,,186029,Control,7/15/2020 14:39,7513159.601,4693109.585,-,,-,,,,,FS3,7513099.558,4693162.945,621.908,,621.908,7/15/2020,18:37:22,
152569,7513036.71,4693252.634,,,186030,Control,7/15/2020 14:39,7513167.91,4693098.591,-,,-,,,,,A231,7513100.454,4693166.044,621.97,,621.97,7/15/2020,18:38:31,
152570,7513059.234,4693220.483,,,A5,Measured,7/15/2020 15:46,7513093.276,4693200.811,622.3515,,0.0232,,,,,152573,7513103.782,4693158.554,623.612,OBJEKT,623.612,12/31/1969,16:00:00,0
