P1,7513067.965,4693208.040,622.251,,622.251,1969-12-31,16:00:00,0.000
P2,7513108.859,4693149.512,621.852,,621.852,1969-12-31,16:00:00,0.000
P3,7513094.794,4693201.985,622.255,,622.255,1969-12-31,16:00:00,0.000
P4,7513124.767,4693130.120,621.632,,621.632,1969-12-31,16:00:00,0.000
6,7513085.123,4693212.633,621.632,,621.632,1969-12-31,16:00:00,0.000
152672,7513061.486,4693244.149,621.632,,621.632,1969-12-31,16:00:00,0.000
FS1,7513123.594,4693162.067,621.972,,621.972,2020-07-15,17:46:32,
A6,7513085.003,4693212.797,622.358,,622.358,2020-07-15,17:48:44,
A152672,7513061.494,4693244.140,621.988,,621.988,2020-07-15,17:52:00,
100,7513112.018,4693173.743,622.080,OBJEKT,622.080,2020-07-15,17:54:06,
3,7513116.483,4693168.504,621.632,,621.632,1969-12-31,16:00:00,0.000
2,7513120.405,4693163.182,621.632,,621.632,1969-12-31,16:00:00,0.000
1,7513108.658,4693155.094,621.632,,621.632,1969-12-31,16:00:00,0.000
101,7513115.779,4693168.258,622.203,OBJEKT,622.203,2020-07-15,17:58:57,
A3,7513116.345,4693168.629,622.051,,622.051,2020-07-15,18:01:08,
FS2,7513123.110,4693159.107,621.964,,621.964,2020-07-15,18:10:05,
152677,7513112.190,4693174.330,622.203,,622.203,1969-12-31,16:00:00,0.000
A200,7513112.398,4693174.040,622.052,,622.052,2020-07-15,18:15:34,
A2,7513120.372,4693163.232,621.947,,621.947,2020-07-15,18:18:18,
A1,7513108.629,4693155.059,621.593,,621.593,2020-07-15,18:23:24,
A220,7513112.570,4693157.740,621.742,,621.742,2020-07-15,18:25:18,
300,7513119.521,4693162.786,623.585,OBJEKT,623.585,2020-07-15,18:26:04,
301,7513112.532,4693157.873,623.568,OBJEKT,623.568,2020-07-15,18:26:16,
302,7513112.584,4693157.784,623.612,OBJEKT,623.612,2020-07-15,18:26:31,
303,7513108.706,4693155.228,623.809,OBJEKT,623.809,2020-07-15,18:26:43,
FS3,7513099.558,4693162.945,621.908,,621.908,2020-07-15,18:37:22,
A231,7513100.454,4693166.044,621.970,,621.970,2020-07-15,18:38:31,
152573,7513103.782,4693158.554,623.612,OBJEKT,623.612,1969-12-31,16:00:00,0.000
150058,7513115.621,4693142.264,623.612,,623.612,1969-12-31,16:00:00,0.000
A232,7513107.108,4693153.977,621.818,,621.818,2020-07-15,18:43:19,
FS5,7513096.307,4693167.367,621.943,,621.943,2020-07-15,18:50:13,
333,7513100.593,4693166.121,624.489,OBJEKT,624.489,2020-07-15,18:50:55,
334,7513104.418,4693168.718,625.946,OBJEKT,625.946,2020-07-15,18:52:19,
A333,7513104.418,4693168.718,625.946,,625.946,2020-07-15,18:52:43,
152670,7513033.615,4693257.052,623.585,,623.585,1969-12-31,16:00:00,0.000
A152670,7513033.618,4693257.049,622.380,,622.380,2020-07-15,18:56:59,
